120.13027407	30.27130736	 2026-09-20 10:00:00.000	411	-94.87	501;507;513	-97.97;-102.20;-102.20	501;507		0.27
120.13028671	30.27130634	 2026-09-20 10:00:00.243	411	-92.26	501;513;507	-97.04;-100.79;-102.20	501;513		1.86
120.13028106	30.27130160	 2026-09-20 10:00:00.446	411	-94.40	501;513;507	-97.55;-102.01;-102.20	501;513		2.10
120.13028644	30.27131227	 2026-09-20 10:00:00.752	411	-92.19	501;507;513	-95.20;-102.20;-102.20	501;507		1.15
120.13029212	30.27131220	 2026-09-20 10:00:01.052	411	-93.71	501;513;507	-94.70;-101.94;-102.20	501;513		-0.18
120.13027509	30.27131529	 2026-09-20 10:00:01.275	501	-94.34	411;513;423	-97.02;-101.52;-102.20	411;513		1.83
120.13029244	30.27130234	 2026-09-20 10:00:01.514	411	-94.60	501;507;513	-95.97;-102.20;-102.20	501;507		-0.84
120.13028521	30.27130589	 2026-09-20 10:00:01.764	411	-97.26	501;513;507	-97.72;-102.18;-102.20	501;513		-0.87
120.13029851	30.27131987	 2026-09-20 10:00:02.056	411	-93.96	501;507;513	-97.79;-102.20;-102.20	501;507		2.51
120.13028876	30.27131681	 2026-09-20 10:00:02.260	411	-93.27	501;507;513	-95.89;-102.20;-102.20	501;507		0.94
120.13028667	30.27131463	 2026-09-20 10:00:02.523	411	-93.48	501;507;513	-97.33;-102.20;-102.20	501;507		2.15
120.13030572	30.27131239	 2026-09-20 10:00:02.752	411	-92.66	501;507;513	-97.19;-102.20;-102.20	501;507		4.49
120.13029931	30.27131006	 2026-09-20 10:00:03.003	411	-91.70	501;513;417	-97.69;-101.02;-101.68	501;513		3.61
120.13029059	30.27130663	 2026-09-20 10:00:03.280	411	-92.06	501;513;507	-97.99;-101.52;-102.20	501;513		4.48
120.13029123	30.27132170	 2026-09-20 10:00:03.501	411	-93.99	501;417;513	-98.11;-101.31;-101.41	501;417		1.83
120.13030283	30.27131803	 2026-09-20 10:00:03.700	411	-93.76	501;513;429	-97.01;-101.09;-102.16	501;513		2.01
120.13031106	30.27132132	 2026-09-20 10:00:04.006	411	-91.67	501;507;513	-97.71;-102.20;-102.20	501;507		4.70
120.13029488	30.27130693	 2026-09-20 10:00:04.268	411	-92.35	501;417;507	-96.92;-101.79;-102.20	501;417		1.33
120.13031385	30.27130478	 2026-09-20 10:00:04.503	411	-92.97	501;513;507	-96.53;-101.00;-102.20	501;513		-0.29
120.13030798	30.27131209	 2026-09-20 10:00:04.687	501	-93.68	411;429;417	-93.91;-101.52;-101.87	411;429		-2.03
120.13030957	30.27130264	 2026-09-20 10:00:04.937	411	-92.38	501;507;513	-96.62;-102.20;-102.20	501;507		1.17
120.13030472	30.27131427	 2026-09-20 10:00:05.228	411	-90.90	501;513;507	-96.26;-100.46;-102.20	501;513		2.03
120.13030795	30.27130624	 2026-09-20 10:00:05.429	501	-92.75	411;429;417	-92.88;-101.13;-101.40	411;429		-3.29
120.13031939	30.27130443	 2026-09-20 10:00:05.699	411	-92.83	501;513;507	-93.29;-101.75;-102.20	501;513		-2.63
120.13031118	30.27130246	 2026-09-20 10:00:05.917	411	-92.50	501;513;507	-98.26;-101.31;-102.20	501;513		2.69
120.13032013	30.27131260	 2026-09-20 10:00:06.189	411	-88.96	501;513;507	-95.56;-100.48;-102.20	501;513		3.35
120.13031452	30.27131913	 2026-09-20 10:00:06.442	411	-89.37	501;513;507	-98.69;-101.99;-102.20	501;513		6.76
120.13032398	30.27131226	 2026-09-20 10:00:06.678	411	-91.86	501;513;429	-96.88;-100.74;-100.89	501;513		2.07
120.13032576	30.27130566	 2026-09-20 10:00:06.950	411	-92.43	501;417;513	-98.37;-101.84;-102.13	501;417		3.73
120.13031357	30.27131510	 2026-09-20 10:00:07.195	411	-91.55	501;513;507	-97.62;-101.85;-102.20	501;513		3.57
120.13033541	30.27130230	 2026-09-20 10:00:07.482	411	-95.17	501;513;507	-95.46;-102.06;-102.20	501;513		-1.99
120.13033331	30.27131960	 2026-09-20 10:00:07.768	411	-90.55	501;513;417	-98.02;-99.69;-100.18	501;513		5.74
120.13032873	30.27132115	 2026-09-20 10:00:07.991	411	-91.66	501;513;429	-99.46;-102.08;-102.08	501;513		5.26
120.13033055	30.27131314	 2026-09-20 10:00:08.299	411	-92.97	501;507;513	-96.74;-102.20;-102.20	501;507		2.25
120.13034127	30.27131224	 2026-09-20 10:00:08.572	411	-91.28	501;513;429	-98.70;-101.11;-101.75	501;513		5.08
